difficulty,user_query,execution_plan,execution_output,chart_files,critic_verdict,critic_feedback
Easy,"Show summary statistics","Compute descriptive statistics","Mean Sales=5400, Median=5100, Std=420","[]","pass",""
Easy,"Find missing values","Calculate missing values","Age:2 missing, Salary:5 missing","[]","pass",""
Easy,"Show correlation matrix","Compute correlations","Sales and Profit correlation=0.83","['correlation_heatmap.png']","pass",""
Medium,"Regional dashboard","Multiple aggregations","KPIs generated for all four regions","['dashboard.html']","pass",""
Medium,"Sales trends","Monthly trend analysis","Peak sales observed during Q4","['trend_q4.png']","pass",""
Medium,"Customer segmentation","Basic segmentation","Three customer groups identified","['segments.png']","pass",""
Hard,"Predict sales","Regression analysis","Model R²=0.87","['prediction.png']","pass",""
Easy,"Category distribution","Count categories","Electronics=45%, Clothing=35%, Grocery=20%","['category_distribution.png']","pass",""
Hard,"Inventory optimization","Analysis","Fast-moving products identified","['inventory.png']","pass",""
Hard,"Sales forecasting dashboard","Forecast + dashboard","Forecast and KPIs generated","['dashboard.html','forecast.png']","pass",""
Hard,"Executive report","EDA + trends","Multiple analyses successfully completed","['heatmap.png','trend.png','dashboard.html']","pass",""
Hard,"Model evaluation","Classification metrics","Accuracy=94%, F1=0.92","['confusion.png']","pass",""
Medium,"Category performance","Aggregate categories","Electronics dominated revenue","['categories.png']","pass",""
Medium,"Store comparison","Compare stores","Store A consistently outperformed Store B","['stores.png']","pass",""
